trade_date,code,name,open,pct_chg
2024-12-30,000925,众合科技,8.95,5.33
2024-12-30,002891,中宠股份,33.95,5.72
2024-12-30,600673,东阳光,11.62,5.18
2024-12-31,000852,石化机械,6.61,5.67
2024-12-31,002730,电光科技,12.94,5.73
2024-12-31,301071,力量钻石,33.7,7.57
2025-01-02,002730,电光科技,12.29,10.03
2025-01-02,002918,蒙娜丽莎,10.38,10.04
2025-01-02,600683,京投发展,4.15,10.0
2025-01-02,603068,博通集成,27.51,10.02
2025-01-02,603199,九华旅游,33.9,5.27
2025-01-03,000852,石化机械,6.6,10.0
2025-01-03,002730,电光科技,15.9,9.98
2025-01-06,000702,正虹科技,6.2,10.08
2025-01-06,301168,通灵股份,24.89,8.12
2025-01-06,920547,无锡晶海,16.01,5.69
2025-01-07,000702,正虹科技,7.14,5.76
2025-01-07,002827,高争民爆,24.64,6.53
2025-01-07,300065,海兰信,7.52,5.63
2025-01-07,300249,依米康,11.97,9.75
2025-01-07,300383,光环新网,12.4,7.55
2025-01-07,300458,全志科技,34.6,7.76
2025-01-07,300825,阿尔特,10.56,8.34
2025-01-07,300870,欧陆通,97.7,12.54
2025-01-07,300956,英力股份,21.63,6.87
2025-01-07,301004,嘉益股份,109.11,6.7
2025-01-07,301006,迈拓股份,12.37,5.08
2025-01-07,301071,力量钻石,33.5,8.35
2025-01-07,301168,通灵股份,27.25,5.03
2025-01-07,301178,天亿马,24.66,5.49
2025-01-07,301205,联特科技,71.0,5.01
2025-01-07,301295,美硕科技,19.01,5.63
2025-01-07,600590,泰豪科技,4.47,10.07
2025-01-07,600673,东阳光,11.08,10.01
2025-01-07,600860,京城股份,9.5,10.0
2025-01-07,601567,三星医疗,28.48,5.27
2025-01-07,688123,聚辰股份,55.39,5.98
2025-01-07,920207,众诚科技,15.5,6.18
2025-01-07,920300,辰光医疗,11.57,5.92
2025-01-07,920640,富士达,22.34,6.24
2025-01-07,920748,路桥信息,19.9,10.5
2025-01-07,920808,曙光数创,55.83,6.39
2025-01-08,002730,电光科技,14.11,10.0
2025-01-08,002918,蒙娜丽莎,11.66,10.01
2025-01-08,300870,欧陆通,109.8,5.19
2025-01-08,301261,恒工精密,39.66,5.11
2025-01-08,600539,狮头股份,6.61,7.13
2025-01-08,600673,东阳光,12.65,5.2
2025-01-08,601975,招商南油,3.11,5.19
2025-01-08,688123,聚辰股份,57.12,14.31
2025-01-08,688208,道通科技,35.4,5.94
2025-01-09,002730,电光科技,16.43,9.99
2025-01-09,003007,直真科技,26.58,5.74
2025-01-09,600764,中国海防,24.4,5.98
2025-01-09,603068,博通集成,29.14,9.99
2025-01-09,688685,迈信林,32.25,5.36
2025-01-09,920641,格利尔,12.34,7.69
2025-01-10,000702,正虹科技,7.11,6.54
2025-01-10,603068,博通集成,33.44,10.0
2025-01-10,603188,亚邦股份,3.32,9.88
2025-01-13,001218,丽臣实业,15.26,5.01
2025-01-13,002207,准油股份,5.13,10.09
2025-01-13,002933,新兴装备,27.87,10.0
2025-01-13,300191,潜能恒信,12.74,15.13
2025-01-13,300249,依米康,12.03,8.85
2025-01-13,300326,ST凯利,6.8,6.59
2025-01-14,000823,超声电子,9.49,6.5
2025-01-14,000925,众合科技,6.9,5.67
2025-01-14,000938,紫光股份,24.36,5.91
2025-01-14,001260,坤泰股份,15.13,5.94
2025-01-14,001696,宗申动力,21.18,7.45
2025-01-14,002141,贤丰控股,1.52,5.3
2025-01-14,002730,电光科技,13.76,6.32
2025-01-14,002891,中宠股份,33.31,5.64
2025-01-14,002892,科力尔,15.6,8.17
2025-01-14,300065,海兰信,8.22,7.45
2025-01-14,300232,洲明科技,6.13,6.4
2025-01-14,300281,金明精机,5.28,5.12
2025-01-14,300383,光环新网,13.28,7.2
2025-01-14,300458,全志科技,37.34,6.71
2025-01-14,300643,万通智控,11.22,6.07
2025-01-14,300663,科蓝软件,15.64,7.94
2025-01-14,300746,汉嘉设计,10.58,5.17
