code,name,year,month,year_month,up_count
000004,*ST国华,2023,5,2023-05,5
000004,*ST国华,2024,5,2024-05,2
000004,*ST国华,2025,5,2025-05,4
000004,*ST国华,2023,7,2023-07,9
000004,*ST国华,2024,7,2024-07,3
000004,*ST国华,2025,7,2025-07,1
000004,*ST国华,2023,8,2023-08,2
000004,*ST国华,2024,8,2024-08,1
000004,*ST国华,2025,8,2025-08,2
000004,*ST国华,2023,9,2023-09,1
000004,*ST国华,2024,9,2024-09,6
000004,*ST国华,2025,9,2025-09,2
000004,*ST国华,2023,10,2023-10,1
000004,*ST国华,2024,10,2024-10,7
000004,*ST国华,2025,10,2025-10,2
000004,*ST国华,2023,11,2023-11,1
000004,*ST国华,2024,11,2024-11,1
000004,*ST国华,2025,11,2025-11,1
000007,全新好,2023,8,2023-08,1
000007,全新好,2024,8,2024-08,1
000007,全新好,2025,8,2025-08,1
000007,全新好,2023,10,2023-10,3
000007,全新好,2024,10,2024-10,2
000007,全新好,2025,10,2025-10,1
000010,美丽生态,2023,1,2023-01,1
000010,美丽生态,2024,1,2024-01,2
000010,美丽生态,2025,1,2025-01,1
000010,美丽生态,2023,4,2023-04,1
000010,美丽生态,2024,4,2024-04,2
000010,美丽生态,2025,4,2025-04,1
000010,美丽生态,2023,7,2023-07,3
000010,美丽生态,2024,7,2024-07,2
000010,美丽生态,2025,7,2025-07,4
000010,美丽生态,2023,8,2023-08,5
000010,美丽生态,2024,8,2024-08,1
000010,美丽生态,2025,8,2025-08,3
000010,美丽生态,2023,9,2023-09,4
000010,美丽生态,2024,9,2024-09,3
000010,美丽生态,2025,9,2025-09,2
000010,美丽生态,2023,10,2023-10,2
000010,美丽生态,2024,10,2024-10,3
000010,美丽生态,2025,10,2025-10,1
000010,美丽生态,2023,11,2023-11,1
000010,美丽生态,2024,11,2024-11,4
000010,美丽生态,2025,11,2025-11,2
000011,深物业A,2023,8,2023-08,3
000011,深物业A,2024,8,2024-08,3
000011,深物业A,2025,8,2025-08,2
000014,沙河股份,2023,4,2023-04,2
000014,沙河股份,2024,4,2024-04,1
000014,沙河股份,2025,4,2025-04,1
000014,沙河股份,2023,5,2023-05,1
000014,沙河股份,2024,5,2024-05,1
000014,沙河股份,2025,5,2025-05,1
000014,沙河股份,2023,8,2023-08,3
000014,沙河股份,2024,8,2024-08,1
000014,沙河股份,2025,8,2025-08,4
000014,沙河股份,2023,12,2023-12,1
000014,沙河股份,2024,12,2024-12,1
000014,沙河股份,2025,12,2025-12,1
000017,深中华A,2023,3,2023-03,2
000017,深中华A,2024,3,2024-03,1
000017,深中华A,2025,3,2025-03,1
000020,深华发Ａ,2023,6,2023-06,1
000020,深华发Ａ,2024,6,2024-06,1
000020,深华发Ａ,2025,6,2025-06,3
000021,深科技,2023,8,2023-08,1
000021,深科技,2024,8,2024-08,1
000021,深科技,2025,8,2025-08,1
000021,深科技,2023,10,2023-10,1
000021,深科技,2024,10,2024-10,6
000021,深科技,2025,10,2025-10,2
000025,特  力Ａ,2023,10,2023-10,1
000025,特  力Ａ,2024,10,2024-10,2
000025,特  力Ａ,2025,10,2025-10,1
000026,飞亚达,2023,2,2023-02,1
000026,飞亚达,2024,2,2024-02,1
000026,飞亚达,2025,2,2025-02,1
000029,深深房Ａ,2023,10,2023-10,1
000029,深深房Ａ,2024,10,2024-10,3
000029,深深房Ａ,2025,10,2025-10,1
000031,大悦城,2023,4,2023-04,1
000031,大悦城,2024,4,2024-04,1
000031,大悦城,2025,4,2025-04,1
000032,深桑达Ａ,2023,3,2023-03,4
000032,深桑达Ａ,2024,3,2024-03,1
000032,深桑达Ａ,2025,3,2025-03,1
000032,深桑达Ａ,2023,4,2023-04,2
000032,深桑达Ａ,2024,4,2024-04,2
000032,深桑达Ａ,2025,4,2025-04,2
000032,深桑达Ａ,2023,7,2023-07,1
000032,深桑达Ａ,2024,7,2024-07,1
000032,深桑达Ａ,2025,7,2025-07,1
000034,神州数码,2023,2,2023-02,3
000034,神州数码,2024,2,2024-02,5
000034,神州数码,2025,2,2025-02,5
000034,神州数码,2023,3,2023-03,3
000034,神州数码,2024,3,2024-03,2
000034,神州数码,2025,3,2025-03,1
000034,神州数码,2023,7,2023-07,1
000034,神州数码,2024,7,2024-07,1
000034,神州数码,2025,7,2025-07,1
000034,神州数码,2023,10,2023-10,4
000034,神州数码,2024,10,2024-10,2
000034,神州数码,2025,10,2025-10,1
000035,中国天楹,2023,9,2023-09,1
000035,中国天楹,2024,9,2024-09,2
000035,中国天楹,2025,9,2025-09,2
000036,华联控股,2023,10,2023-10,1
000036,华联控股,2024,10,2024-10,3
000036,华联控股,2025,10,2025-10,1
000042,中洲控股,2023,2,2023-02,1
000042,中洲控股,2024,2,2024-02,2
000042,中洲控股,2025,2,2025-02,4
000042,中洲控股,2023,4,2023-04,1
000042,中洲控股,2024,4,2024-04,2
000042,中洲控股,2025,4,2025-04,1
000042,中洲控股,2023,8,2023-08,1
000042,中洲控股,2024,8,2024-08,1
000042,中洲控股,2025,8,2025-08,1
000045,深纺织Ａ,2023,8,2023-08,1
000045,深纺织Ａ,2024,8,2024-08,2
