code,name,year,month,year_month,up_count
000001,平安银行,2023,2,2023-02,1
000001,平安银行,2024,2,2024-02,1
000001,平安银行,2024,9,2024-09,2
000001,平安银行,2024,10,2024-10,1
000002,万  科Ａ,2023,4,2023-04,1
000002,万  科Ａ,2023,7,2023-07,1
000002,万  科Ａ,2023,11,2023-11,1
000002,万  科Ａ,2024,1,2024-01,1
000002,万  科Ａ,2024,2,2024-02,1
000002,万  科Ａ,2024,3,2024-03,1
000002,万  科Ａ,2024,4,2024-04,1
000002,万  科Ａ,2024,5,2024-05,2
000002,万  科Ａ,2024,7,2024-07,2
000002,万  科Ａ,2024,8,2024-08,1
000002,万  科Ａ,2024,9,2024-09,3
000002,万  科Ａ,2024,10,2024-10,2
000002,万  科Ａ,2025,1,2025-01,1
000002,万  科Ａ,2025,2,2025-02,2
000002,万  科Ａ,2025,8,2025-08,1
000002,万  科Ａ,2025,12,2025-12,1
000004,*ST国华,2023,5,2023-05,5
000004,*ST国华,2023,6,2023-06,5
000004,*ST国华,2023,7,2023-07,9
000004,*ST国华,2023,8,2023-08,2
000004,*ST国华,2023,9,2023-09,1
000004,*ST国华,2023,10,2023-10,1
000004,*ST国华,2023,11,2023-11,1
000004,*ST国华,2024,1,2024-01,1
000004,*ST国华,2024,2,2024-02,4
000004,*ST国华,2024,3,2024-03,3
000004,*ST国华,2024,5,2024-05,2
000004,*ST国华,2024,6,2024-06,4
000004,*ST国华,2024,7,2024-07,3
000004,*ST国华,2024,8,2024-08,1
000004,*ST国华,2024,9,2024-09,6
000004,*ST国华,2024,10,2024-10,7
000004,*ST国华,2024,11,2024-11,1
000004,*ST国华,2024,12,2024-12,3
000004,*ST国华,2025,1,2025-01,1
000004,*ST国华,2025,2,2025-02,3
000004,*ST国华,2025,4,2025-04,2
000004,*ST国华,2025,5,2025-05,4
000004,*ST国华,2025,7,2025-07,1
000004,*ST国华,2025,8,2025-08,2
000004,*ST国华,2025,9,2025-09,2
000004,*ST国华,2025,10,2025-10,2
000004,*ST国华,2025,11,2025-11,1
000004,*ST国华,2025,12,2025-12,2
000005,ST星源,2023,6,2023-06,3
000005,ST星源,2023,7,2023-07,1
000005,ST星源,2023,8,2023-08,1
000005,ST星源,2024,1,2024-01,1
000005,ST星源,2024,2,2024-02,4
000006,深振业Ａ,2023,2,2023-02,1
000006,深振业Ａ,2023,7,2023-07,1
000006,深振业Ａ,2023,8,2023-08,5
000006,深振业Ａ,2023,11,2023-11,2
000006,深振业Ａ,2024,1,2024-01,1
000006,深振业Ａ,2024,2,2024-02,1
000006,深振业Ａ,2024,4,2024-04,1
000006,深振业Ａ,2024,5,2024-05,1
000006,深振业Ａ,2024,6,2024-06,2
000006,深振业Ａ,2024,9,2024-09,4
000006,深振业Ａ,2024,10,2024-10,10
000006,深振业Ａ,2024,11,2024-11,4
000006,深振业Ａ,2024,12,2024-12,1
000006,深振业Ａ,2025,1,2025-01,1
000006,深振业Ａ,2025,3,2025-03,1
000006,深振业Ａ,2025,5,2025-05,2
000006,深振业Ａ,2025,8,2025-08,2
000006,深振业Ａ,2025,9,2025-09,4
000006,深振业Ａ,2025,10,2025-10,7
000007,全新好,2023,6,2023-06,1
000007,全新好,2023,8,2023-08,1
000007,全新好,2023,10,2023-10,3
000007,全新好,2024,7,2024-07,3
000007,全新好,2024,8,2024-08,1
000007,全新好,2024,9,2024-09,4
000007,全新好,2024,10,2024-10,2
000007,全新好,2024,11,2024-11,2
000007,全新好,2025,4,2025-04,3
000007,全新好,2025,7,2025-07,1
